location_1,location_2,business_closed,business_closed_date,business_closed_url,business_open,business_open_date,business_open_url,school_closed,school_closed_date,school_closed_url,school_open,school_open_date,school_open_url,college_closed,college_closed_date,college_closed_url,college_open,college_open_date,college_open_url,religion_closed,religion_closed_date,religion_closed_url,religion_open,religion_open_date,religion_open_url,lockdown_closed,lockdown_closed_date,lockdown_closed_url,lockdown_open,lockdown_open_date,lockdown_open_url,fips,fips.1,fips.1.1,fips
Alabama,Madison County,Yes,2020-03-27,https://whnt.com/news/coronavirus/list-of-business-types-ordered-to-close-in-alabama/,No,tono,,Yes,2020-03-19,https://www.al.com/news/2020/03/coronavirus-shutdowns-whats-open-whats-closed.html,No,,,Yes,2020-03-16,https://www.waff.com/2020/03/12/north-alabama-colleges-universities-react-covid-outbreak/,No,,,Yes,2020-03-15,https://www.waaytv.com/content/news/Church-services-canceled-altered-in-North-Alabama-by-coronavirus-568803241.html,No,,,Yes,2020-04-03,https://abc3340.com/news/coronavirus/alabama-governor-orders-a-statewide-shelter-in-place,foooononono,,,01089,01089,01089,01089
Arizona,Maricopa County,Yes,2020-03-31,https://azgovernor.gov/sites/default/files/eo_2020-18_stay_home_stay_healthy_stay_connected_1.0.pdf,No,,,Yes,2020-03-07,https://www.cusd80.com/cms/lib/AZ01001175/Centricity/Domain/104/Approved_CALENDAR_2019-20.pdf,No,,,Yes,2020-03-07,"https://eoss.asu.edu/health/announcements/coronavirus#covid-archive
https://www.azcentral.com/story/news/local/arizona-education/2020/03/10/list-of-colleges-closed-online-because-coronavirus/5013436002/",No,,,Yes,2020-03-12,https://www.azcentral.com/story/news/local/arizona-health/2020/03/12/here-arizona-religious-institutions-closing-due-coronavirus/5038586002/,No,,,Yes,2020-03-31,https://azgovernor.gov/sites/default/files/eo_2020-18_stay_home_stay_healthy_stay_connected_1.0.pdf,No,,,04013,04013,04013,04013
Arizona,Coconino County,Yes,2020-03-31,https://www.fisherphillips.com/resources-alerts-arizona-under-stay-at-home-order-shutting,No,,,Yes,2020-03-16,https://www.azcentral.com/story/news/local/arizona-education/2020/03/15/all-arizona-schools-close-due-coronavirus/5055982002/,No,,,Yes,2020-03-16,https://azdailysun.com/news/local/nau-ccc-to-move-online-tests-in-county-negative-lowell/article_52561103-1754-5a6b-9040-5b54bc2bab03.html,No,,,Yes,2020-03-22,https://www.youtube.com/watch?v=tgU-8npxP6U&fbclid=IwAR271BOzGWsjxu-5Aq08nBsE_iYNGjPCzsdjpt82QQA_YqGFUv1GMuwqmSs,No,,,Yes,2020-03-31,https://www.12news.com/article/news/health/coronavirus/arizona-shelter-in-place-order-ducey/75-fc2b364a-c0e8-45df-87ae-02cba1c8bb1c,No,,,04005,04005,04005,04005
Arizona,Pima County,Yes,2020-03-20,https://www.azcentral.com/story/news/local/arizona-health/2020/03/19/gov-doug-ducey-orders-bars-theaters-gyms-closed-national-guard-help-stores/2881586001/,No,,,Yes,2020-03-20,https://www.azfamily.com/news/continuing_coverage/coronavirus_coverage/schools-will-be-closed-until-april-10-in-arizona/article_aee0a0b2-6af8-11ea-9dcb-f734d8440c5f.html,No,,,Yes,2020-03-16,https://www.kold.com/2020/03/17/pima-community-college-close-all-campuses-after-community-member-potentially-exposed-covid-/,No,,,Yes,2020-03-16,https://kvoa.com/coronavirus-coverage/2020/03/16/diocese-of-tucson-suspends-mass-church-gatherings-in-response-to-covid-19/,No,,,Yes,2020-03-28,https://www.google.com/amp/s/www.kold.com/2020/03/28/tucson-mayor-romero-advises-residents-stay-home-orders-non-essential-business-close/%3foutputType=amp,No,,,04019,04019,04019,04019
California,Alameda County,Yes,2020-03-17,https://www.expressnews.com/local-politics/article/Bay-Area-must-shelter-in-place-Only-15135014.php,No,,,Yes,2020-03-13,https://patch.com/california/alameda/school-canceled-alameda-3-weeks-coronavirus,No,,,Yes,2020-03-10,https://news.berkeley.edu/2020/03/09/as-coronavirus-spreads-uc-berkeley-suspends-in-person-instruction/,No,,,Yes,2020-03-15,https://www.mercurynews.com/2020/03/13/coronavirus-bay-area-churches-temple-and-mosque-closures-and-live-streams/,No,,,Yes,2020-03-17,https://www.expressnews.com/local-politics/article/Bay-Area-must-shelter-in-place-Only-15135014.php,No,,,06001,06001,06001,06001
California,Alameda County,Yes,2020-03-17,https://www.expressnews.com/local-politics/article/Bay-Area-must-shelter-in-place-Only-15135014.php,No,,,Yes,2020-03-13,https://patch.com/california/alameda/school-canceled-alameda-3-weeks-coronavirus,No,,,Yes,2020-04-10,https://news.berkeley.edu/2020/03/09/as-coronavirus-spreads-uc-berkeley-suspends-in-person-instruction/,No,,,Yes,2020-03-15,https://www.mercurynews.com/2020/03/13/coronavirus-bay-area-churches-temple-and-mosque-closures-and-live-streams/,No,,,Yes,2020-03-17,https://www.expressnews.com/local-politics/article/Bay-Area-must-shelter-in-place-Only-15135014.php,No,,,06001,06001,06001,06001
California,Contra Costa County,Yes,2020-03-17,https://www.expressnews.com/local-politics/article/Bay-Area-must-shelter-in-place-Only-15135014.php,No,,,Yes,2020-03-16,https://www.sfchronicle.com/bayarea/article/Bay-Area-school-closures-Latest-updates-from-15129669.php,No,,,Yes,2020-03-16,https://richmondstandard.com/community/education/2020/03/13/contra-costa-college-to-begin-remote-instruction-monday/,No,,,Yes,2020-03-15,https://www.mercurynews.com/2020/03/13/coronavirus-bay-area-churches-temple-and-mosque-closures-and-live-streams/,No,,,Yes,2020-03-17,https://www.expressnews.com/local-politics/article/Bay-Area-must-shelter-in-place-Only-15135014.php,No,,,06013,06013,06013,06013
California,Humboldt County,Yes,2020-03-19,https://www.times-standard.com/2020/03/19/humboldt-county-shelter-in-place-starting-midnight-tonight-to-prevent-covid-19/,No,,,Yes,2020-03-16,https://hcoe.org/2020/03/humboldt-county-school-closures-as-of-march-15th/,No,,,Yes,2020-03-17,https://lostcoastoutpost.com/2020/mar/17/hsu-president-closes-campus-urges-students-dorms-r/,No,,,Yes,2020-03-18,https://lostcoastoutpost.com/2020/mar/18/church-closures-humboldts-houses-worship-are-offer/,No,,,Yes,2020-03-19,https://lostcoastoutpost.com/2020/mar/19/breaking-humboldt-county-shelter-place-order-take/,No,,,06023,06023,06023,06023
California,Los Angeles County,Yes,2020-03-19,https://www.lamayor.org/sites/g/files/wph446/f/article/files/SAFER_AT_HOME_ORDER2020.03.19.pdf,No,,,Yes,2020-03-27,https://edsource.org/2020/california-k-12-schools-closed-due-to-the-coronavirus/624984,No,,,Yes,2020-03-10,https://abc7.com/6001308/,No,,,Yes,2020-03-19,https://covid19.ca.gov/img/N-33-20.pdf,No,,,Yes,2020-03-19,https://covid19.ca.gov/img/N-33-20.pdf,No,,,06037,06037,06037,06037
California,Marin County,Yes,2020-03-17,https://www.expressnews.com/local-politics/article/Bay-Area-must-shelter-in-place-Only-15135014.php,No,,,Yes,2020-03-16,https://www.marinij.com/2020/03/13/all-marin-public-schools-suspend-classes-for-2-weeks-amid-coronavirus-concerns/,No,,,Yes,2020-03-16,https://www.marinij.com/2020/03/11/latest-updates-marin-covid-19-closures-cancellations-restrictions-and-postpoments/,No,,,Yes,2020-03-17,https://www.expressnews.com/local-politics/article/Bay-Area-must-shelter-in-place-Only-15135014.php,No,,,Yes,2020-03-17,https://www.expressnews.com/local-politics/article/Bay-Area-must-shelter-in-place-Only-15135014.php,No,,,06041,06041,06041,06041
California,Marin County,Yes,2020-03-31,https://coronavirus.marinhhs.org,No,,,Yes,2020-03-16,https://www.marincounty.org/main/county-press-releases/press-releases/2020/hhs-schoolsuspension-031320,No,,,Yes,2020-03-16,https://www.marincounty.org/main/county-press-releases/press-releases/2020/hhs-schoolsuspension-031320,No,,,Yes,2020-03-31,https://coronavirus.marinhhs.org,No,,,Yes,2020-03-31,https://coronavirus.marinhhs.org,No,,,06041,06041,06041,06041
